name,gender,age,diver_id,dive_number,event,height,date,score,meet
Max Valasek,M,23,32577,101B,1 meter,1,2013-03-16,22.75,2013 USA Diving Spring Junior Region 9 Championships
Max Valasek,M,23,32577,101B,1 meter,1,2012-06-08,24.7,2012 USA Diving Summer Junior Region 10 Championships
Max Valasek,M,23,32577,101C,1 meter,1,2012-01-28,24.6,SPA Championships
Max Valasek,M,23,32577,101C,1 meter,1,2011-07-07,15.0,2011 USA Diving Summer Junior Zone E Championships
Max Valasek,M,23,32577,101C,1 meter,1,2011-06-17,15.6,2011 USA Diving Summer Junior Region 9 Championships
Max Valasek,M,23,32577,103B,1 meter,1,2019-07-30,30.6,2019 USA Diving Junior National Championships
Max Valasek,M,23,32577,103B,1 meter,1,2019-06-14,35.7,2019 USA Diving Zone E Championships
Max Valasek,M,23,32577,103B,1 meter,1,2019-05-03,39.1,CIF Central Coast Section 2019 Diving Championship
Max Valasek,M,23,32577,103B,1 meter,1,2019-04-26,34.85,2019 USA Diving Junior Region 10 Championships
Max Valasek,M,23,32577,103B,1 meter,1,2018-07-29,31.45,2018 USA Diving Junior National Championships
Max Valasek,M,23,32577,103B,1 meter,1,2018-06-28,35.7,2018 USA Diving Zone E Championships
Max Valasek,M,23,32577,103B,1 meter,1,2018-05-18,40.8,2018 CIF State Swimming and Diving Championships
Max Valasek,M,23,32577,103B,1 meter,1,2018-05-11,37.4,CIF Central Coast Section 2018 Diving Championship
Max Valasek,M,23,32577,103B,1 meter,1,2018-04-27,31.45,2018 USA Diving Junior Region 10 Championships
Max Valasek,M,23,32577,103B,1 meter,1,2018-04-14,35.7,Capital Pre Region Invitational
Max Valasek,M,23,32577,103B,1 meter,1,2018-03-08,33.15,2018 Texas All Star Challenge
Max Valasek,M,23,32577,103B,1 meter,1,2017-07-29,32.3,2017 USA Diving National Diving Championships
Max Valasek,M,23,32577,103B,1 meter,1,2017-07-05,35.7,2017 USA Diving National Preliminary Zone E Championships
Max Valasek,M,23,32577,103B,1 meter,1,2017-04-21,37.4,2017 USA Diving Junior Region 10 Championships
Max Valasek,M,23,32577,103B,1 meter,1,2017-04-01,37.4,Capital Pre Region Invitational
Max Valasek,M,23,32577,103B,1 meter,1,2016-08-01,29.75,2016 USA Diving ATT National Diving Championships
Max Valasek,M,23,32577,103B,1 meter,1,2016-07-07,34.85,2016 USA Diving National Zone F Meet
Max Valasek,M,23,32577,103B,1 meter,1,2016-04-29,34.0,2016 USA Diving Junior Region 12 Championships
Max Valasek,M,23,32577,103B,1 meter,1,2015-08-01,33.15,2015 USA Diving ATT National Diving Championships
Max Valasek,M,23,32577,103B,1 meter,1,2015-06-11,27.2,2015 USA Diving National Preliminary Zone F Championships
Max Valasek,M,23,32577,103B,1 meter,1,2015-05-02,32.3,2015 USA Diving Junior Region 12 Championships
Max Valasek,M,23,32577,103B,1 meter,1,2015-03-27,30.6,2015 Rose Bowl Diving Invitational
Max Valasek,M,23,32577,103B,1 meter,1,2014-12-05,30.6,2014 Chris Vonk Memorial Diving Invitational
Max Valasek,M,23,32577,103B,1 meter,1,2014-08-04,27.2,2014 USA DIVING JUNIOR NATIONAL DIVING CHAMPIONSHIPS
Max Valasek,M,23,32577,103B,1 meter,1,2014-07-10,26.35,2014 USA Diving Summer Junior Zone E Championships
Max Valasek,M,23,32577,103B,1 meter,1,2014-06-13,30.6,2014 USA Diving Summer Junior Region 9 Championships
Max Valasek,M,23,32577,103B,1 meter,1,2014-04-25,30.6,2014 USA Diving Junior West National Championships
Max Valasek,M,23,32577,103B,1 meter,1,2014-03-07,30.6,2014 USA Diving Spring Junior Region 10 Championships
Max Valasek,M,23,32577,103B,1 meter,1,2014-02-15,32.3,2014 Rose Bowl Invitational
Max Valasek,M,23,32577,103B,1 meter,1,2013-12-13,28.9,2013 Chris Vonk Memorial Diving Invitational
Max Valasek,M,23,32577,103B,1 meter,1,2013-07-11,30.6,2013 USA Diving Summer Junior Zone E Championships
Max Valasek,M,23,32577,103B,1 meter,1,2013-06-07,20.4,2013 USA Diving Summer Junior Region 10 Championships
Max Valasek,M,23,32577,103B,1 meter,1,2013-05-24,25.5,Greg Louganis Southern California Invitational
Max Valasek,M,23,32577,103B,1 meter,1,2013-03-16,29.75,2013 USA Diving Spring Junior Region 9 Championships
Max Valasek,M,23,32577,103C,1 meter,1,2012-08-01,21.6,2012 USA DIVING Age Group National Championships
Max Valasek,M,23,32577,103C,1 meter,1,2012-07-12,27.2,2012 USA Diving Summer Junior Zone E Championships
Max Valasek,M,23,32577,103C,1 meter,1,2012-06-08,30.4,2012 USA Diving Summer Junior Region 10 Championships
Max Valasek,M,23,32577,103C,1 meter,1,2012-01-28,26.4,SPA Championships
Max Valasek,M,23,32577,103C,1 meter,1,2011-07-07,22.4,2011 USA Diving Summer Junior Zone E Championships
Max Valasek,M,23,32577,103C,1 meter,1,2011-06-17,21.6,2011 USA Diving Summer Junior Region 9 Championships
Max Valasek,M,23,32577,104C,1 meter,1,2014-12-05,38.5,2014 Chris Vonk Memorial Diving Invitational
Max Valasek,M,23,32577,104C,1 meter,1,2014-08-04,36.3,2014 USA DIVING JUNIOR NATIONAL DIVING CHAMPIONSHIPS
Max Valasek,M,23,32577,104C,1 meter,1,2014-07-10,33.0,2014 USA Diving Summer Junior Zone E Championships
Max Valasek,M,23,32577,104C,1 meter,1,2014-06-13,34.1,2014 USA Diving Summer Junior Region 9 Championships
Max Valasek,M,23,32577,104C,1 meter,1,2014-04-25,35.2,2014 USA Diving Junior West National Championships
Max Valasek,M,23,32577,104C,1 meter,1,2014-03-07,33.0,2014 USA Diving Spring Junior Region 10 Championships
Max Valasek,M,23,32577,104C,1 meter,1,2014-02-15,30.8,2014 Rose Bowl Invitational
Max Valasek,M,23,32577,104C,1 meter,1,2013-12-13,42.9,2013 Chris Vonk Memorial Diving Invitational
Max Valasek,M,23,32577,104C,1 meter,1,2013-07-11,26.4,2013 USA Diving Summer Junior Zone E Championships
Max Valasek,M,23,32577,104C,1 meter,1,2013-06-07,31.9,2013 USA Diving Summer Junior Region 10 Championships
Max Valasek,M,23,32577,104C,1 meter,1,2013-05-24,24.2,Greg Louganis Southern California Invitational
